state,date,sentiment,total,row,col,pval
VA,15.5,0.016341902604756507,883,6,9,0.1902
VA,17.5,0.002195488721804515,931,6,9,0.7908
VA,19.5,0.011596213592233008,1030,6,9,0.5861
VA,21.5,0.004971778487752926,939,6,9,0.9749
VA,23.5,0.04365865921787709,1074,6,9,0.002035
VA,25.5,0.03870582375478927,1305,6,9,0.007465
VA,27.5,0.03279411764705882,1139,6,9,0.003123
VA,29.5,0.007041061670569864,1281,6,9,0.1237
VA,31.0,-0.001944914134742405,757,6,9,0.5167
KY,1.5,-0.10782530712530713,814,5,8,1.548e-07
KY,3.5,-0.05811329879101901,1737,5,8,3.124e-06
KY,5.5,-0.07407718940936865,491,5,8,0.0003409
KY,7.5,-0.054418666666666664,450,5,8,0.02699
KY,9.5,-0.010211136363636361,440,5,8,0.964
KY,11.5,-0.02176809954751131,442,5,8,0.3119
KY,13.5,-0.036415819209039545,354,5,8,0.0977
KY,15.5,0.02062604501607717,311,5,8,0.4844
KY,17.5,0.07039891598915989,369,5,8,0.04659
KY,19.5,0.04286228287841191,403,5,8,0.171
KY,21.5,0.0024936599423631073,347,5,8,0.6931
KY,23.5,0.06022361445783133,415,5,8,0.06307
KY,25.5,0.04735995575221239,452,5,8,0.09523
KY,27.5,0.02889236453201971,406,5,8,0.9194
KY,29.5,0.06517540603248259,431,5,8,0.002366
KY,31.0,0.04155560538116591,223,5,8,0.08819
DE,1.5,-0.026029496402877696,695,5,12,0.1107
DE,3.5,-0.06367985611510792,1529,5,12,6.691e-05
DE,5.5,-0.025774084507042255,355,5,12,0.4802
DE,7.5,-0.0289390625,320,5,12,0.1755
DE,9.5,-0.0878179104477612,335,5,12,0.01927
DE,11.5,-0.042548534201954404,307,5,12,0.02467
DE,13.5,-0.0012243362831858365,226,5,12,0.664
DE,15.5,-0.04927767441860465,215,5,12,0.1307
DE,17.5,-0.02589958333333334,240,5,12,0.3912
DE,19.5,0.06530940766550523,287,5,12,0.7427
DE,21.5,-0.0062318385650224194,223,5,12,0.4446
DE,23.5,0.000579999999999995,275,5,12,0.7495
DE,25.5,0.010486601307189543,306,5,12,0.9746
DE,27.5,0.05184129692832765,293,5,12,0.1106
DE,29.5,0.007302295081967218,305,5,12,0.1674
DE,31.0,0.021388679245283006,159,5,12,0.9437
AL,1.5,-0.09601902086677368,1246,7,8,1.106e-09
AL,3.5,-0.05455569064505235,2961,7,8,4.407e-07
AL,5.5,-0.046175186846038864,669,7,8,0.02268
AL,7.5,-0.032695833333333334,528,7,8,0.1109
AL,9.5,-0.09870696428571428,560,7,8,1.974e-05
AL,11.5,-0.021069105691056914,615,7,8,0.9927
AL,13.5,-0.018585534591194972,477,7,8,0.2737
AL,15.5,0.0019004040404040432,495,7,8,0.2972
AL,17.5,0.018861355311355313,546,7,8,0.6879
AL,19.5,0.018447980613893376,619,7,8,0.208
AL,21.5,0.0325875939849624,532,7,8,0.1397
AL,23.5,0.05776362275449103,668,7,8,0.1275
AL,25.5,0.08357400275103163,727,7,8,0.0001599
AL,27.5,0.09588279266572636,709,7,8,1.413e-05
AL,29.5,0.02673296551724138,725,7,8,0.1694
AL,31.0,0.04226741573033708,445,7,8,0.05611
DC,1.5,-0.08532875246409463,3551,5,10,5.23e-23
DC,3.5,-0.029892349670510708,9712,5,10,3.512e-07
DC,5.5,0.0003655706904650065,2129,5,10,0.5043
DC,7.5,-0.035071571696931744,1597,5,10,0.01506
DC,9.5,-0.02987981981981982,1665,5,10,0.03292
DC,11.5,0.0042062874251497,1336,5,10,0.8988
DC,13.5,-0.009965185950413223,968,5,10,0.758
DC,15.5,0.0339264480874317,915,5,10,0.007292
DC,17.5,-0.003913429752066115,968,5,10,0.668
