sentiment,word,odds
pos,🤣,21.17884772323574
pos,excellent,18.67991802880654
pos,positive,18.240994287940477
pos,beautiful,17.640400583471042
pos,😁,16.792505012633814
pos,grateful,12.816486759242554
neg,declares,-28.07465006019771
neg,toll,-29.935152304262196
neg,incompetent,-32.74336940694489
neg,😱,-38.75012876905858
neg,death,-46.644988483977265
neg,killed,-50.03526894483518
