clusterId,topicName,topicColor,hashtags,num
10,Supertuesday,#6115ed,supertuesday supertuesday2020 vote supertuesdayresults nashvillestrong nashville cheliv warrenjobs tennessee votebernie warren2020 nashvilletornado 2020elections californiaprimary tornado joementum bidenforpresident elizabethwarren ivoted electionday votewarren supertuesdsy choosewarren texasprimary nashvilletn memphis vote2020 votersuppression voting montgomerycounty prayfornashville tornadoes netanyahu scprimary warrendropout gotv withthesehands tennesseetornado warroom2020 facup,2791
11,Travel,#6b8e23,travel cruise airlines insurance tourism aviation virginia dc travelban washingtondc restaurants airports hotels airport avgeek vacation hospitality airtravel flights dmv traveltips traveltuesday americanairlines flight remoteworkforce tsa travelinsurance cruises traveling wanderlust paxex deals travelrestrictions flying ship airplane aircraft cancellation tourist claims coverage cruising camping travelblogger restrictions plane,2592
12,Online Learning,#12dbdb,education edtech highered edchat video schools parenting onlinelearning elearning parents children autism k12 schoolclosures teachers wisconsin college learning students movie malliard highereducation pizza smile universities dadlife university edutwitter teaching virtuallearning theautismstudies onlineteaching milwaukee ada highschool specialeducation voiceover educators txed 10km3x2 parentinginapandemic kindergarten colleges satchat onlineeducation emchat language edtechchat icanvscdc suptchat audio,2479
13,Canada,#d314f5,cdnpoli covid19canada bcpoli toronto onpoli vancouver covidcanada ontario bc covidontario cdnhealth yyj covid19ontario covid19bc vanpoli uspoli ttc bchealth healthandsafety ibd britishcolumbia topoli onhealth trudeau canpoli cdnecon yvr gobus northvan covidbc vanre covid19toronto surreybc justintrudeau canlab canadians bced dougford covid19vancouver burnaby essentialservices richmondbc ableg saanich yyc,2398
14,SXSW,#ffd700,sxsw socialmedia sxsw2020 austin food startups atx misinformation yoga cancelsxsw disinformation cancelled sxsw20 foodie siliconvalley islam grocery venturecapital blacklivesmatter cooking austintx vc austintexas muslim g20 comiccon wechat sxswcancelled dinner dangerous saas supermarkets recipes farmersmarket santaclaracounty dubnation productdevelopment kitchen dao tao foodporn leanstartup om customerdevelopment agiledevelopment sfnt brics foodindustry,2370
15,Seattle,#a65628,seattle washington covid19seattle washingtonstate seattlecoronavirus oregon seattlecovid19 kirkland wa kingcounty portland patriotsawakened pnw state employee pdx groundzeroseattle wegotthisseattle lifecarecenter goldenrule snohomish fox12 employer washingtoncoronavirus,2245
16,Wash Hands,#4682b4,outbreak handsanitizer washhands purell contagion askabc2020 sanitizer conspiracy wholesalesanitizer diy handshake european antibacterial asian shortage blowjob handsanitiser cosplay cumshot naturaltits babe brunette homemade blonde fingerfucking cleanhands japanese masturbation hardcore bigtits supplies antivirus sextoys shavedpussy bigass student milf handsanitizers funding lingerie highheels orgasm hand fetish handgel,2211
17,California,#b22222,california losangeles grandprincess sanfrancisco la sandiego homeless ca cruiseship bayarea oakland sf dtla princesscruises homelessness dem losangeleslockdown berkeley wsr gavinnewsom socal grandprincesscruise bart losangelescounty santamonica sanjose princess placercounty princesscruise tx,2161
18,AI,#00bfff,ai iot icymi 5g artificialintelligence machinelearning bigdata cloud datascience digitaltransformation analytics ml cloudcomputing robotics robots huawei deeplearning futurism automation medtech transparency projectmanagement healthit drones telecom ethics blogpost rstats alibaba forbes chatbot aws agile python smartthings techunity british idol dl datacenter,2130
19,Tech Companies,#c0c0c0,amazon facebook google twitter apple netflix microsoft pricegouging internet iphone nike amazonprime uighurs microsoftteams googleio smart android hulu linkedin foxconn azure samsung office365 tweet googleio2020 capital,1873
20,Florida,#ff8c00,florida miami flapol arizona springbreak tampa floridacoronavirus orlando stl springbreak2020 wftv tampabay ultra2020 lgbt stlouis ultra governor floridaman floridalockdown broward browardcounty jacksonville staycation tucson stpetersburg sunrise publix visitflorida raysup miamibeach visittampa hillsborough ultramusicfestival fortlauderdale rondesantis sayfie,1702
21,Supply Chain,#7fff00,supplychain logistics transportation manufacturing shipping trucking transit traffic maritime industry phoenix procurement madeinusa freight mfg pmi disruption truckers cargo garden transport sourcing supplychainmanagement summer outsourcing bus purchasing,1666
22,Remote Work,#2e8b57,remotework workfromhome wfh remoteworking remote futureofwork telecommuting telework collaboration teacher teacherlife response team telecommute workathome companies digitalworkplace remoteworkers company workremotely,1577
23,Tech,#6a5acd,tech technology data innovation cio cheers mobile b2b linux enterprise apps techforgood,1382
24,n95 Masks,#f781bf,n95 masks facemask facemasks n95mask coronviruswho mask n95respirator n95masks gloves surgicalmask,1296
25,Cybersecurity,#ff1493,cybersecurity security infosec privacy risk phishing malware it compliance cyberattack surveillance corpgov ransomware hipaa cyber hackers dataprotection hacking gdpr cybercrime vpn databreach ciso datasecurity dataprivacy cyberattacks hack attacksolutions hacker msp informationsecurity,1250
26,Sports,#00008b,nba sports marchmadness mlb nfl nhl ncaa football basketball ncaatournament baseball soccer mls espn rudygobert lakers nfldraft hockey sport nbatwitter lebronjames kevindurant kobe marchsadness dodgers hockeytwitter,1204
27,Climate Change,#6b8e23,climatechange climatecrisis nature pollution globalwarming environment nasa climateemergency climate wildlife climateaction airpollution gretathunberg gpwx birds emissions,1007
28,Real Estate,#8b008b,realestate mortgage cre housing realtor sacramento mortgagerates property commercialrealestate housingmarket mortgages realestateagent realtors forsale homes realty homebuying realtorlife realestatemarket properties homebuyers development finances refinance industrial realestateinvesting,986
29,Mental Health,#6495ed,mentalhealth anxiety stress depression mindfulness meditation socialisolation mentalhealthmatters psychology ocd mentalhealthawareness parentingtips therapy trauma suicideprevention ptsd,905
30,Podcasts,#b0e0e6,podcast comedy podcasts podernfamily society podcasting interview harveyweinstein standupcomedy closures cardib comedian dailylife showerthoughts darkhumor standup comedians drama,863
31,Texas,#191970,texas houston sanantonio txlege f1 dallas motogp dfw ausgp australiangp formula1 houstonrodeo satx,833
32,Management,#c71585,hr management workplace employees humanresources employmentlaw shrm employers emplaw businesses hrtech fmla employeeengagement ffcra benefits ssp hrcommunity,830
33,Humor,#ffff00,funny humor lol memes meme comics jokes joke realtalk satire funnymemes lmao batman thesimpsons parody memesdaily hilarious dankmemes dccomics fuckit sicktime,791
34,Australia,#ff7f50,auspol covid19aus scottyfrommarketing covid19au springst nzpol uspolitics insiders covid_19australia scomo bushfires scottyfrommarketting floods auspolsocorrupt,756
35,Other,#fff8dc,feedly mustread arrestthemallnow impeachobamasjudges ricothedems uncategorized,752
36,Infowars,#383538,rt theresistance1776 infowars bitchute inf0wars warroomshow alexjonesshow alexjones brighteon iartg infowarriors davidknightshow,740
37,Faith,#49c9e3,god prayer jesus faith pray christian church religion bible christianity muslims lent faithoverfear soldiers,681
38,Other,#fff8dc,oigetit maryland fakenewsfilter rhodeisland worldhealthorganization scientists cash baltimore moco ri myanmar contactless presidentdonaldtrump economicslowdown cleaningsupplies,672
39,Veterans,#29a634,veterans p2 lgbtq metoo genx solidarity 1u puertorico gay va indigenous farmers millenials aarp suicide independents blm latinx,660
40,Marketing,#c99c65,marketing seo digitalmarketing conference branding advertising contentmarketing brand virtual socialmediamarketing martech smm content wordpress webdesign,653
